time,x,y,z,vx,vy,vz,e0,e1,e2,e3
0.0,0.0,0.0,1191.0,0.0,0.0,0.0,0.7762566120557769,-0.0005561511570386069,0.003959279798751743,0.6304043837403519
0.1,0.0426643857060733,0.040417119271406586,1195.3089825840068,0.8618431894051855,0.8097153236569237,84.89597103673216,0.7762566120557769,-0.0005561511570386069,0.003959279798751743,0.6304043837403519
0.2,0.17488296829831318,0.16646047511255588,1208.2535970390543,1.7465378969378407,1.7942409214123891,177.40463295346674,0.7762532941556992,-0.0009650621267088289,0.003757634893246724,0.6304092100751114
0.30000000000000004,0.3831069229582002,0.43715178699695895,1230.9683271050924,2.8677470171286217,4.457989192053611,278.79748955877386,0.7762598503134692,-7.733425892137563e-05,0.004217136389941047,0.6303989646020933
0.4,0.6787582226648228,0.993154349809955,1264.311660325574,3.7950753791612155,6.400357975552592,389.67923434426274,0.7762583370748116,-0.00033069161326512584,0.004320035521271542,0.6304000492211276
0.5,1.1796303974366924,1.7754118154243599,1309.19825551417,5.261115133051319,8.87490362877587,509.9115364604883,0.7762583087857277,-0.0003833227788765637,0.004207524841880146,0.630400815227482
0.6000000000000001,1.7505278739271704,2.8524062579408977,1366.6485940633502,7.013278990059568,11.484051520212036,640.825891721238,0.776258721379107,-0.00031847962083942825,0.004284032269903065,0.6303998279830948
0.7000000000000001,2.3866283651185456,4.180268045577355,1437.7330160116162,9.088061120703792,14.536375064965956,782.9352469304862,0.7762590624900533,-0.0002864145667699192,0.004283726358893755,0.6303994254099868
0.8,3.3567450272385715,5.825572827310473,1523.7218986181438,10.781867908300082,17.578855242509945,939.258980958937,0.7762587323171624,-0.0002808423462747561,0.004309130304105389,0.630399661345841
0.9,4.625095412237112,7.75970927539094,1626.0906301284401,12.606112260787581,21.292112104175658,1110.0914263226125,0.7762590383864169,-0.0002491213125537126,0.004384856052430334,0.6303987756169633
1.0,6.068687383096069,9.965787186386686,1745.4332784088951,14.76863239442575,24.45696720897852,1270.2224245405978,0.776259338255616,-5.3984128063663525e-05,0.004431983943235098,0.6303981237083388
1.1,7.745761864998392,12.441142383597205,1878.8320212797964,16.501145307140185,26.830023664719548,1393.4322345794712,0.7762598029916884,1.942891572901993e-05,0.004422143941770373,0.6303976225564152
1.2000000000000002,9.630488664712344,15.294054711114994,2023.3049212819487,17.736818620271343,28.599244846677717,1491.0519197191259,0.776260104679246,2.9442123457893685e-05,0.004429672181433572,0.6303971978212566
1.3,11.358564084076471,18.188325344682557,2176.1123700807575,18.58479793113518,29.839466624543,1560.2586775821342,0.7762601149123973,4.319976335687588e-05,0.00453425765504588,0.6303964408509058
1.4000000000000001,13.122945614638267,21.166196352641155,2334.459254996697,19.09344028874576,30.679108944452928,1603.0615746134652,0.7762600846904533,6.455845903634175e-05,0.004627853860858436,0.630395796081492
1.5,14.921067129528183,24.204087314358482,2496.0563707074243,19.352638838241635,31.12981409451243,1625.5666246225485,0.7762613542157084,0.00015050873931592157,0.00458001966657619,0.6303945674878296
1.6,16.73279241638903,27.324542452917818,2658.9841242465536,19.405153941544945,31.238229405248276,1630.3724954352529,0.7762622070270362,0.00017450371003326816,0.004500012315500721,0.6303940873605418
1.7000000000000002,18.54206930073759,30.57757506485425,2821.6584480347765,19.286017264566713,31.08386592232861,1620.8215173049339,0.7762625973312947,0.0002317797575667188,0.0044642896372478254,0.6303938422769143
1.8,20.33581309432054,33.77481566120039,2982.7571062675074,19.02811908579451,30.70480509529261,1599.6104681222525,0.7762624551424115,0.0003292158066861351,0.0043656330111908805,0.6303946649533448
1.9000000000000001,22.105447058252377,36.8085122203553,3141.3559374291463,18.68955919994249,30.19459397047851,1571.6373452250673,0.7762620436292513,0.00023195889618749722,0.004275912435743353,0.6303958299262858
2.0,23.918722379000954,39.77594006526009,3296.967869077407,18.322631679903584,29.613933638658047,1540.378749306405,0.7762601571202742,0.00014795554152239695,0.004196858877297438,0.6303987095103613
2.1,25.76340219538468,42.67928402058762,3449.2953642969464,17.86298173502269,28.919198755608903,1503.7172916202542,0.7762581239518961,0.0001009713786597136,0.004140359380149248,0.6304015959907355
2.2,27.551016325676727,45.50232314245983,3597.631949319483,17.36984329151118,28.139948613643526,1463.3349597884871,0.7762551988114761,0.00016975481716724762,0.003999602712997195,0.6304060918801436
2.3000000000000003,29.284336028074748,48.24286374419552,3742.019837761213,16.90460611561352,27.47589331288395,1424.767882337831,0.7762521193253485,0.0003145709196138141,0.003972152294258097,0.6304100017402902
2.4000000000000004,30.96879545825931,50.90351720502636,3882.6335246388317,16.46586236393181,26.790414401024783,1387.8923477393369,0.7762488233000306,0.00036990931205850574,0.003969154242374544,0.6304140491034592
2.5,32.60925406935826,53.486431860504105,4019.642342171066,16.052527957629856,26.132688716594927,1352.6000933061366,0.7762456669216897,0.0002629251144647179,0.003958159555454669,0.6304180584569408
2.6,34.21013494055533,56.010157905603705,4153.204436408899,15.660734346211049,25.49593789749557,1318.7875547139122,0.7762433525043261,0.0003681324346536801,0.003919218401549244,0.6304210988684276
2.7,35.77513819060085,58.5063282395566,4283.442568719228,15.289446889066438,24.87579820048601,1286.3514104855492,0.776241565295837,0.0004729984051149769,0.0038244099071825487,0.6304238117873082
2.8000000000000003,37.30772073378334,60.93970756437117,4410.508628182789,14.936084887916637,24.364854077774066,1255.2161031726598,0.7762399282119453,0.0005725025411546786,0.0037138160204773086,0.6304264062211548
2.9000000000000004,38.81018866237573,63.38651595685565,4534.51603158071,14.64774378813791,23.879264552516965,1225.2917383650806,0.7762391264146542,0.00039779243061613563,0.0036320127074355034,0.630428004507961
3.0,40.28494521107951,65.84385585237506,4655.594499136699,14.449324453244127,23.416939808362425,1196.5117890934866,0.776238127459947,0.00041885935311648554,0.0035327374206690918,0.6304297849884902
3.1,41.73361893084667,68.26492120657177,4773.857642940327,14.266550531160494,22.97598147787273,1168.817323679377,0.7762372220693224,0.0004112506768838642,0.003515231344503315,0.6304310026446802
3.2,43.15753663058059,70.57664666484027,4889.395663688648,14.097885280273204,22.55625159881016,1142.138599990944,0.7762362795516514,0.0005802157376550041,0.0035237098882332798,0.6304319829498912
3.3000000000000003,44.55765333925644,72.7880567571183,5002.3018653633435,13.941842307252195,22.08078755471672,1116.4283986697528,0.7762354136710317,0.0007412035626334934,0.0035168748263829314,0.6304329185343169
3.4000000000000004,45.934625507679485,74.9558840213901,5112.696593473908,13.79759532492122,21.59935430506754,1091.636272660479,0.776235052991768,0.0009298476802475323,0.003473213813250072,0.630433354666428
3.5,47.288285191266404,77.08214297309867,5220.662892402356,13.625649180150935,21.11436827699592,1067.71235602082,0.7762351068042622,0.0011572613443065467,0.0034977997459616572,0.6304327760417393
3.6,48.61825195364588,79.16887071388024,5326.27734132001,13.580181792687894,20.55523462830811,1044.61630953573,0.7762351413386648,0.0013983665799910127,0.0034933046251575043,0.630432269751991
3.7,49.92407612882088,81.21801159986559,5429.615703587386,13.518661174131946,20.00000477919953,1022.3207832914119,0.7762352999933603,0.0017473411378160727,0.0034820579900373817,0.6304312659722072
3.8000000000000003,51.20523678691433,83.23192321561808,5530.7589471593565,13.464898386070022,19.44372564655801,1000.767699731765,0.776234948177391,0.0023921424037840226,0.0034931945696347172,0.6304295206242027
3.9000000000000004,52.43113370239909,85.1986925551261,5629.782748588863,13.376060780355607,19.055216665351672,979.9297220683669,0.7762351770053113,0.0027425351267087467,0.0034591762340653717,0.6304279995212725
4.0,53.603195947254676,87.05673569325214,5726.758449312348,13.271406967237619,18.731187920988592,959.7588456518821,0.7762353691575635,0.0032044013527760327,0.0034015144312098166,0.6304258982468642
