Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.97,0,0.4052670146808943865732483012,0.405267014680894,0.399343079587268,0.405267014680894,0.399343079587268,0,0.0000000,0.0000000,0,10.845207771776211197060924841,84.53981709182644415112929298,83.06958701576892991905935135,980990900
11.98,0,0.4052291806995067449711692799,0.405229180699507,0.399314573849742,0.405229180699507,0.399314573849742,0,0.0000000,0.0000000,0,10.839810867909294746401182603,84.52975828018443946774411483,83.06185094101675402144242378,981810400
11.99,0,0.4051914077678396597815317095,0.40519140776784,0.399286107128385,0.40519140776784,0.399286107128385,0,0.0000000,0.0000000,0,10.834418889241438425204828468,84.51967582676457246558121728,83.05409715493972116964766718,982630000
12.00,0,0.4051536939241533448821269153,0.405153693924153,0.399257677530784,0.405153693924153,0.399257677530784,0,0.0000000,0.0000000,0,10.82903533843882530097271361,84.50965319711971420936487264,83.04638896883672653501490136,983449500
12.01,0,0.4051160679687986620610150527,0.405116067968799,0.399229313926345,0.405116067968799,0.399229313926345,0,0.0000000,0.0000000,0,10.823657749339221145377780406,84.49963682549685034538403952,83.03868572330032373828970577,984269100
12.02,0,0.4050785216935802661545666936,0.40507852169358,0.399201008175653,0.40507852169358,0.399201008175653,0,0.0000000,0.0000000,0,10.818285637725453701963902832,84.48963712595212015022613055,83.03099519415159456374388055,985088600
12.03,0,0.4050410481676325690706906130,0.405041048167633,0.399172753416357,0.405041048167633,0.399172753416357,0,0.0000000,0.0000000,0,10.812921424317972742404023266,84.47965672607622008459225877,83.02331968655950108908075083,985908200
12.04,0,0.4050036527215005985235381457,0.405003652721501,0.399144555047246,0.405003652721501,0.399144555047246,0,0.0000000,0.0000000,0,10.807564605443109982112947281,84.46965306306764074423255363,83.01562709606734391356265229,986727700
12.05,0,0.4049663141254874032969531371,0.404966314125487,0.3991163919066,0.404966314125487,0.3991163919066,0,0.0000000,0.0000000,0,10.802212753704062192763617257,84.45970315939046852002582376,83.00797507230143667119933334,987547300
12.06,0,0.4049290691197369629504612989,0.404929069119737,0.399088300802274,0.404929069119737,0.399088300802274,0,0.0000000,0.0000000,0,10.796869475872673146028975569,84.44976507974071411585051493,83.00033253580574744051560834,988366800
12.07,0,0.4048918745507692315482091323,0.404891874550769,0.399060238648237,0.404891874550769,0.399060238648237,0,0.0000000,0.0000000,0,10.791529862571902557323827793,84.43979727006341252231129475,82.99266755458307355427916868,989186300
12.08,0,0.4048547577103802015182081248,0.40485475771038,0.399032232803466,0.40485475771038,0.399032232803466,0,0.0000000,0.0000000,0,10.786199928844983198321116305,84.42989550222669225894237745,82.98505301640975017386096874,990005800
12.09,0,0.4048177226434612475929731665,0.404817722643461,0.399004287379775,0.404817722643461,0.399004287379775,0,0.0000000,0.0000000,0,10.780874744173647488607737882,84.42000088760374919000983599,82.9774439399927230777538808,990825400
12.10,0,0.4047807650246814263529519007,0.404780765024681,0.398976398118493,0.404780765024681,0.398976398118493,0,0.0000000,0.0000000,0,10.7755562386994561717275665,84.41012439097854084166389051,82.96984883695057158200289976,991645000
12.11,0,0.4047438603804870263818867344,0.404743860380487,0.398948540612466,0.404743860380487,0.398948540612466,0,0.0000000,0.0000000,0,10.770245853989036343310521738,84.40022680979225342672757785,82.96223840050834226485644786,992464400
12.12,0,0.4047070491259892037725691970,0.404707049125989,0.398920755342949,0.404707049125989,0.398920755342949,0,0.0000000,0.0000000,0,10.764940672741541746900477569,84.39037566246887340219277792,82.95466305038531203512456669,993284000
12.13,0,0.4046702850930581542221329474,0.404670285093058,0.398892996207695,0.404670285093058,0.398892996207695,0,0.0000000,0.0000000,0,10.75964237482698680208433077,84.38054361104518992476978971,82.94710243899702091845852503,994103600
12.14,0,0.4046336028987904259697861066,0.40463360289879,0.398865297889429,0.40463360289879,0.398865297889429,0,0.0000000,0.0000000,0,10.754350579469993280535023719,84.37072142421351985750268343,82.93954957029966762230081793,994923100
12.15,0,0.4045969858575192491106775277,0.404596985857519,0.398837643767859,0.404596985857519,0.398837643767859,0,0.0000000,0.0000000,0,10.749065856191434897667361991,84.36088343799886404956286936,82.93198521212695229142781961,995742600
