0.27, 0, 0, 5, 0.721838, 0, 1570.11, -2971.973, -9.679012, 0.004559922, 0.07619628, 55.28103, 1.718321, 1.270703, 3.930832
 
0.28, -0.6753226, 0, 5, 0.7283111, 0.8298423758288166638843887293, 1709.543, -2974.339, -9.679012, 0.004559922, 0.07619628, 57.68499, 1.68121, 1.270279, 3.93632
 
0.29, -0.6949394, -0.006753226, 5, 0.7347969, 0.7934863365758487865106579017, 1856.26, -2976.708, -9.679012, 0.004559922, 0.07619628, 60.11107, 1.68274, 1.269856, 3.941808
 
0.3, -0.7131383, -0.01370262, 5, 0.7413461, 0.7582939880850000178943715289, 2010.428, -2979.078, -9.679012, 0.004559922, 0.07619628, 62.55933, 1.684228, 1.269433, 3.947297
 
0.31, -0.7296299, -0.020834, 5, 0.7479336, 0.7240257174026463317129007704, 2172.232, -2981.451, -9.679012, 0.004559922, 0.07619628, 65.03007, 1.685685, 1.26901, 3.952785
 
0.32, -0.7440901, -0.0281303, 5, 0.7545596, 0.6904724662471304378603331018, 2341.843, -2983.826, -9.679012, 0.004559922, 0.07619628, 67.52332, 1.687119, 1.268587, 3.958274
 
0.33, -0.7561719, -0.0355712, 5, 0.7611989, 0.6574559320262880480321856375, 2519.435, -2986.203, -9.679012, 0.004559922, 0.07619628, 70.03914, 1.688537, 1.268163, 3.963762
 
0.3399999, -0.7655075, -0.04313292, 5, 0.767902, 0.6248229393452811941942973887, 2705.203, -2988.583, -9.679012, 0.004559922, 0.07619628, 72.57784, 1.689946, 1.26774, 3.96925
 
0.3499999, -0.7716957, -0.050788, 5, 0.7746439, 0.5924396104968087930293137235, 2899.325, -2990.964, -9.679012, 0.004559922, 0.07619628, 75.13943, 1.691351, 1.267317, 3.974739
 
0.3599999, -0.7743139, -0.05850495, 5, 0.7813995, 0.5601947827599436687497014417, 3101.983, -2993.348, -9.679012, 0.004559922, 0.07619628, 77.724, 1.692757, 1.266894, 3.980227
 
0.3699999, -0.7729241, -0.06624809, 5, 0.7881939, 0.5279965911012975404605190016, 3313.382, -2995.734, -9.679012, 0.004559922, 0.07619628, 80.33184, 1.694167, 1.266471, 3.985715
 
0.3799999, -0.76707, -0.07397733, 5, 0.7950525, 0.4957734732629156831108576374, 3533.711, -2998.123, -9.679012, 0.004559922, 0.07619628, 82.96302, 1.695586, 1.266047, 3.991204
 
0.3899999, -0.7562745, -0.08164803, 5, 0.8019248, 0.4634673351645988615162406068, 3763.159, -3000.513, -9.679012, 0.004559922, 0.07619628, 85.61757, 1.697015, 1.265624, 3.996692
 
0.3999999, -0.7400634, -0.08921077, 5, 0.8088363, 0.4310393804136907557363534294, 4001.942, -3002.906, -9.679012, 0.004559922, 0.07619628, 88.29584, 1.698457, 1.265201, 4.00218
 
0.4099999, -0.7179488, -0.0966114, 5, 0.8158124, 0.3984644818128791167313713197, 4250.253, -3005.302, -9.679012, 0.004559922, 0.07619628, 90.99782, 1.699912, 1.264778, 4.007668
 
0.4199999, -0.6885297, -0.1037909, 5.036033, 0.8228025, 0.3657400261336410423088038554, 4508.294, -3007.699, -9.679012, 0.004559922, 0.07619628, 93.72362, 1.701382, 1.264355, 4.013157
 
0.4299999, -0.6494823, -0.1106762, 5.169718, 0.8298068, 0.3328746571318533291392910505, 4776.288, -3010.098, -9.679012, 0.004559922, 0.07619628, 96.4735, 1.702865, 1.263931, 4.018645
 
0.4399998, -0.6027656, -0.117171, 5.304769, 0.8369269, 0.2998977233739813798719827190, 5054.436, -3012.5, -9.679012, 0.004559922, 0.07619628, 99.24753, 1.704361, 1.263508, 4.024134
 
0.4499998, -0.5480688, -0.1231987, 5.441016, 0.8439845, 0.2668626955359142157717682486, 5342.952, -3014.904, -9.679012, 0.004559922, 0.07619628, 102.0458, 1.705867, 1.263085, 4.029622
 
0.4599998, -0.4851327, -0.1286794, 5.57865, 0.8511585, 0.2338357084009882578768003025, 5642.066, -3017.311, -9.679012, 0.004559922, 0.07619628, 104.8685, 1.707381, 1.262662, 4.03511
 
0.4699998, -0.4137986, -0.1335307, 5.717573, 0.8583467, 0.2009025964752356814105069991, 5951.995, -3019.719, -9.679012, 0.004559922, 0.07619628, 107.7159, 1.708898, 1.262239, 4.040598
 
0.4799998, -0.3340046, -0.1376687, 5.85779, 0.8655493, 0.1681641901760478152394153451, 6272.952, -3022.13, -9.679012, 0.004559922, 0.07619628, 110.5878, 1.710413, 1.261815, 4.046087
 
0.4899998, -0.2458136, -0.1410087, 5.999366, 0.8728174, 0.1357371601060027573313382895, 6605.183, -3024.543, -9.679012, 0.004559922, 0.07619628, 113.4847, 1.711922, 1.261392, 4.051575
 
0.4999998, -0.1494397, -0.1434669, 6.142279, 0.8801259, 0.1037559870251379855393380740, 6948.91, -3026.958, -9.679012, 0.004559922, 0.07619628, 116.4065, 1.713418, 1.260969, 4.057064
 
0.5099998, -0.04525533, -0.1449613, 6.28651, 0.8874486, 0.0723680771237890595683610174, 7304.361, -3029.375, -9.679012, 0.004559922, 0.07619628, 119.3534, 1.714893, 1.260546, 4.062552
 
0.5199998, 0.06617311, -0.1454138, 6.432097, 0.8948116, 0.0417376014583417581316065623, 7671.791, -3031.795, -9.679012, 0.004559922, 0.07619628, 122.3256, 1.716339, 1.260122, 4.06804
 
0.5299998, 0.1840882, -0.1447521, 6.579069, 0.9022408, 0.0120382975117438889056298209, 8051.429, -3034.217, -9.679012, 0.004559922, 0.07619628, 125.3232, 1.717748, 1.259699, 4.073529
 
0.5399998, 0.3072613, -0.1429112, 6.727381, 0.9096845, -0.0165444603254355493454396502, 8443.513, -3036.641, -9.679012, 0.004559922, 0.07619628, 128.3463, 1.717534, 1.259276, 4.079017
 
0.5499998, 0.4334176, -0.1398386, 6.877072, 0.9171689, -0.0438167463748372066863182641, 8848.309, -3039.068, -9.679012, 0.004559922, 0.07619628, 131.3951, 1.716241, 1.258853, 4.084505
 
0.5599998, 0.561051, -0.1355044, 7.028172, 0.9247196, -0.0695795411726608945733532277, 9266.058, -3041.497, -9.679012, 0.004559922, 0.07619628, 134.4697, 1.715024, 1.25843, 4.089993
 
0.5699998, 0.6885977, -0.1298939, 7.180608, 0.9322597, -0.0936304501699641293654685532, 9697.007, -3043.927, -9.679012, 0.004559922, 0.07619628, 137.5703, 1.713893, 1.258006, 4.095482
 
