Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.86,4,0.4082712562830465093670642150,0.461918738461418,0.456064932236264,0.410267604344568,0.404399503721226,0.724728108351546,0.7547761885754645702923153027,0.5530432940706855702923153027,0.201732894504779,10.81137115906597671368789363,80.4097426582772458492978622,80.40974287442330980637103519,1069149000
12.87,4,0.4082487646297654515592025907,0.461872021406297,0.456026827905714,0.410245002712522,0.404385535845146,0.72438342874053,0.7544296905629237526667524166,0.5527656987406447526667524166,0.201663991822279,10.806407940361934081519635121,80.40334472044800098985533684,80.4033449359302852491226814,1069981000
12.88,4,0.4082262993635673070405352917,0.461825366400814,0.455988766613215,0.410222427596585,0.404371575427164,0.724039257686103,0.7540837028703361091207852287,0.5524884892725451091207852287,0.201595213597791,10.801452031450552576309665684,80.39698748124052998699162239,80.39698769606343895313728064,1070812000
12.89,4,0.4082039064079586530982640214,0.461778807503871,0.455950782473581,0.41019992514482,0.404357668671391,0.723695420689782,0.7537380538040179780490819797,0.5522114941213909780490819797,0.201526559682627,10.796500973000998330946108509,80.3906309705473203544204877,80.39063118471026600615186728,1071643000
12.90,4,0.4081815315688099473739651791,0.461732296863588,0.455912827690645,0.4101774408981,0.40434376117455,0.723352014137455,0.7533928361809735125906503193,0.5519348062528715125906503193,0.201458029928102,10.791556094518935126231041185,80.38428898530666747157032074,80.38428919881077188868238253,1072475000
12.91,4,0.4081592044805601590738687311,0.461685856075488,0.455874923915436,0.410155004635768,0.404329882771625,0.723008919951236,0.7530479337212480950192124140,0.5516583095357190950192124140,0.201389624185529,10.786615730416700771095609705,80.37794869876601229997800899,80.37794891161080999100612341,1073306000
12.92,4,0.4081369425116633513044908047,0.4616395184806,0.455837104544284,0.410132633811208,0.404316050971435,0.722666364721704,0.7527035747930676633059163811,0.5513822324868476633059163811,0.20132134230622,10.781683151828216722384914459,80.37159810559280603728914314,80.37159831777623930192124117,1074137000
12.93,4,0.4081146952178024727126312686,0.46159321962982,0.455799305183186,0.410110277733441,0.404302215138237,0.722324153464807,0.7523595603954531823766128049,0.5511063762539621823766128049,0.201253184141491,10.776755508274369465073124238,80.36527719209828255837417377,80.36527740362341187419299983,1074969000
12.94,4,0.4080925044721885377515446850,0.461547006885988,0.455761573249877,0.410087978480429,0.404288417405024,0.721982360284583,0.7520159677596224985310937629,0.5508308182169714985310937629,0.201185149542651,10.771833906010950456005339432,80.35896859401189664612592609,80.35896880487955302848334081,1075800000
12.95,4,0.4080703428653220088399744292,0.461500854300701,0.455723882850653,0.410065708508645,0.404274630283099,0.721641008950396,0.7516728187907860281778614242,0.5505555804297670281778614242,0.201117238361019,10.766918658806927152026660434,80.35264214640297939896018461,80.35264235661017480421196891,1076632000
12.96,4,0.4080482380887330945699391923,0.461454785249392,0.455686257415446,0.410043495645025,0.40426088165403,0.72130003482724,0.7513300506457726799899173493,0.5502806001978686799899173493,0.201049450447904,10.762008866500236362068233233,80.34635473379811620882192288,80.34635494334907485243754761,1077463000
